Field,Value
Program Contact Email,tiffany.meyer@fire.ca.gov
Author,
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,https://gis.data.cnra.ca.gov/maps/CALFIRE-Forestry::california-historical-fire-perimeters
Additional Information,
Related Resources,
Secondary Sources,
Citation,
